Week,Year,GID,Name,Pos,Team,h/a,Oppt,FD points,FD salary
1,2017,6217,"Tavecchio, Giorgio",PK,oak,a,ten,19,0
1,2017,6205,"Zuerlein, Greg",PK,lar,h,ind,17,4500
1,2017,6194,"Bailey, Dan",PK,dal,h,nyg,15,4900
1,2017,6239,"Lutz, Wil",PK,nor,a,min,14,4800
1,2017,6211,"Sturgis, Caleb",PK,phi,a,was,13,4600
1,2017,6236,"Myers, Jason",PK,jac,a,hou,12,4500
1,2017,6208,"Forbath, Kai",PK,min,h,nor,12,4500
1,2017,6071,"Bryant, Matt",PK,atl,a,chi,12,4900
1,2017,6169,"Succop, Ryan",PK,ten,h,oak,12,4600
1,2017,6172,"Gano, Graham",PK,car,a,sfo,11,4700
1,2017,6204,"Walsh, Blair",PK,sea,a,gnb,10,4500
1,2017,6229,"Catanzaro, Chandler",PK,nyj,a,buf,9,4700
1,2017,6098,"Gostkowski, Stephen",PK,nwe,h,kan,9,5000
1,2017,6206,"Tucker, Justin",PK,bal,a,cin,8,5000
1,2017,6166,"Barth, Connor",PK,chi,h,atl,7,4500
1,2017,6159,"Prater, Matt",PK,det,h,ari,7,4700
1,2017,6227,"McManus, Brandon",PK,den,h,lac,6,4600
1,2017,6224,"Santos, Cairo",PK,kan,a,nwe,6,4600
1,2017,6104,"Crosby, Mason",PK,gnb,h,sea,6,4800
1,2017,6016,"Dawson, Phil",PK,ari,a,det,5,4500
1,2017,6209,"Hopkins, Dustin",PK,was,h,phi,5,4800
1,2017,6240,"Gonzalez, Zane",PK,cle,h,pit,4,4500
1,2017,6096,"Gould, Robbie",PK,sfo,h,car,4,4500
1,2017,6243,"Koo, Younghoe",PK,lac,a,den,3,0
1,2017,6242,"Rosas, Aldrick",PK,nyg,a,dal,3,4500
1,2017,6037,"Vinatieri, Adam",PK,ind,a,lar,3,4800
1,2017,6225,"Boswell, Chris",PK,pit,a,cle,3,4800
1,2017,6167,"Hauschka, Steven",PK,buf,h,nyj,3,4800
1,2017,6241,"Fairbairn, Ka'imi",PK,hou,h,jac,1,0
1,2017,6203,"Bullock, Randy",PK,cin,h,bal,0,4600
2,2017,6225,"Boswell, Chris",PK,pit,h,min,16,4700
2,2017,6169,"Succop, Ryan",PK,ten,a,jac,15,4700
2,2017,6230,"Parkey, Cody",PK,mia,a,lac,15,4600
2,2017,6071,"Bryant, Matt",PK,atl,h,gnb,14,5000
2,2017,6120,"Folk, Nick",PK,tam,h,chi,14,4600
2,2017,6098,"Gostkowski, Stephen",PK,nwe,a,nor,12,5100
2,2017,6016,"Dawson, Phil",PK,ari,a,ind,11,4500
2,2017,6229,"Catanzaro, Chandler",PK,nyj,a,oak,10,4600
2,2017,6096,"Gould, Robbie",PK,sfo,a,sea,10,4500
2,2017,6209,"Hopkins, Dustin",PK,was,a,lar,10,4700
2,2017,6217,"Tavecchio, Giorgio",PK,oak,h,nyj,9,4700
2,2017,6239,"Lutz, Wil",PK,nor,h,nwe,9,4700
2,2017,6224,"Santos, Cairo",PK,kan,h,phi,9,4600
2,2017,6422,"Elliott, Jake",PK,phi,a,kan,9,0
2,2017,6172,"Gano, Graham",PK,car,h,buf,9,4800
2,2017,6205,"Zuerlein, Greg",PK,lar,h,was,9,4600
2,2017,6203,"Bullock, Randy",PK,cin,h,hou,9,4700
2,2017,6037,"Vinatieri, Adam",PK,ind,h,ari,8,4700
2,2017,6241,"Fairbairn, Ka'imi",PK,hou,a,cin,8,4500
2,2017,6159,"Prater, Matt",PK,det,a,nyg,8,4800
2,2017,6194,"Bailey, Dan",PK,dal,a,den,7,4800
2,2017,6243,"Koo, Younghoe",PK,lac,h,mia,6,4600
2,2017,6227,"McManus, Brandon",PK,den,h,dal,6,4700
2,2017,6204,"Walsh, Blair",PK,sea,h,sfo,6,4600
2,2017,6206,"Tucker, Justin",PK,bal,h,cle,6,5200
2,2017,6236,"Myers, Jason",PK,jac,h,ten,5,4600
2,2017,6104,"Crosby, Mason",PK,gnb,a,atl,5,4900
2,2017,6208,"Forbath, Kai",PK,min,a,pit,4,4500
2,2017,6240,"Gonzalez, Zane",PK,cle,a,bal,4,4500
2,2017,6242,"Rosas, Aldrick",PK,nyg,h,det,4,4600
2,2017,6167,"Hauschka, Steven",PK,buf,a,car,4,4700
2,2017,6166,"Barth, Connor",PK,chi,a,tam,1,4500
3,2017,6167,"Hauschka, Steven",PK,buf,h,den,19,4600
3,2017,6159,"Prater, Matt",PK,det,h,atl,19,4700
3,2017,6169,"Succop, Ryan",PK,ten,h,sea,16,4500
3,2017,6241,"Fairbairn, Ka'imi",PK,hou,a,nwe,16,4500
3,2017,6236,"Myers, Jason",PK,jac,h,bal,15,4500
3,2017,6071,"Bryant, Matt",PK,atl,a,det,14,4900
3,2017,6239,"Lutz, Wil",PK,nor,a,car,12,4600
3,2017,6422,"Elliott, Jake",PK,phi,h,nyg,12,4600
3,2017,6205,"Zuerlein, Greg",PK,lar,a,sfo,12,4700
3,2017,6227,"McManus, Brandon",PK,den,a,buf,10,4800
3,2017,6208,"Forbath, Kai",PK,min,h,tam,10,4600
3,2017,6096,"Gould, Robbie",PK,sfo,h,lar,10,4600
3,2017,6229,"Catanzaro, Chandler",PK,nyj,h,mia,9,4600
3,2017,6209,"Hopkins, Dustin",PK,was,h,oak,9,4600
3,2017,6104,"Crosby, Mason",PK,gnb,h,cin,9,5000
3,2017,6172,"Gano, Graham",PK,car,h,nor,8,4800
3,2017,6242,"Rosas, Aldrick",PK,nyg,a,phi,7,4500
3,2017,6037,"Vinatieri, Adam",PK,ind,h,cle,7,4600
3,2017,6203,"Bullock, Randy",PK,cin,a,gnb,7,4500
3,2017,6224,"Santos, Cairo",PK,kan,a,lac,6,4700
3,2017,6120,"Folk, Nick",PK,tam,a,min,6,4700
3,2017,6016,"Dawson, Phil",PK,ari,h,dal,5,4500
3,2017,6166,"Barth, Connor",PK,chi,h,pit,5,4500
3,2017,6225,"Boswell, Chris",PK,pit,a,chi,5,4800
3,2017,6243,"Koo, Younghoe",PK,lac,h,kan,4,4500
3,2017,6217,"Tavecchio, Giorgio",PK,oak,a,was,4,4800
3,2017,6194,"Bailey, Dan",PK,dal,a,ari,4,4700
3,2017,6240,"Gonzalez, Zane",PK,cle,a,ind,4,4500
3,2017,6098,"Gostkowski, Stephen",PK,nwe,h,hou,4,5200
3,2017,6204,"Walsh, Blair",PK,sea,a,ten,3,4700
3,2017,6206,"Tucker, Justin",PK,bal,a,jac,1,5100
3,2017,6230,"Parkey, Cody",PK,mia,a,nyj,0,4800
4,2017,6205,"Zuerlein, Greg",PK,lar,a,dal,27,4900
4,2017,6422,"Elliott, Jake",PK,phi,a,lac,19,4600
4,2017,6096,"Gould, Robbie",PK,sfo,a,ari,18,4500
4,2017,6241,"Fairbairn, Ka'imi",PK,hou,h,ten,18,4500
4,2017,6016,"Dawson, Phil",PK,ari,h,sfo,15,4500
4,2017,6098,"Gostkowski, Stephen",PK,nwe,h,car,15,5100
4,2017,6167,"Hauschka, Steven",PK,buf,a,atl,15,4700
4,2017,6229,"Catanzaro, Chandler",PK,nyj,h,jac,13,4600
4,2017,6423,"Butker, Harrison",PK,kan,h,was,12,0
4,2017,6227,"McManus, Brandon",PK,den,h,oak,11,5000
4,2017,6239,"Lutz, Wil",PK,nor,a,mia,10,4700
4,2017,6172,"Gano, Graham",PK,car,a,nwe,10,4900
4,2017,6204,"Walsh, Blair",PK,sea,h,ind,9,4800
4,2017,6225,"Boswell, Chris",PK,pit,a,bal,9,4600
4,2017,6209,"Hopkins, Dustin",PK,was,a,kan,9,4600
4,2017,6236,"Myers, Jason",PK,jac,a,nyj,8,4500
4,2017,6203,"Bullock, Randy",PK,cin,a,cle,8,4500
4,2017,6120,"Folk, Nick",PK,tam,h,nyg,7,4600
4,2017,6243,"Koo, Younghoe",PK,lac,h,phi,6,4500
4,2017,6194,"Bailey, Dan",PK,dal,h,lar,6,4900
4,2017,6159,"Prater, Matt",PK,det,a,min,6,4800
4,2017,6071,"Bryant, Matt",PK,atl,h,buf,5,5000
4,2017,6242,"Rosas, Aldrick",PK,nyg,a,tam,5,4500
4,2017,6037,"Vinatieri, Adam",PK,ind,a,sea,5,4500
4,2017,6104,"Crosby, Mason",PK,gnb,h,chi,5,5100
4,2017,6217,"Tavecchio, Giorgio",PK,oak,a,den,4,4900
4,2017,6206,"Tucker, Justin",PK,bal,h,pit,4,4800
4,2017,6169,"Succop, Ryan",PK,ten,a,hou,2,4600
4,2017,6166,"Barth, Connor",PK,chi,a,gnb,2,4500
4,2017,6208,"Forbath, Kai",PK,min,h,det,1,4700
4,2017,6240,"Gonzalez, Zane",PK,cle,h,cin,1,4500
4,2017,6230,"Parkey, Cody",PK,mia,h,nor,0,4600
5,2017,6423,"Butker, Harrison",PK,kan,a,hou,21,4500
5,2017,6037,"Vinatieri, Adam",PK,ind,h,sfo,18,4500
5,2017,6098,"Gostkowski, Stephen",PK,nwe,a,tam,15,5200
5,2017,6096,"Gould, Robbie",PK,sfo,a,ind,13,4500
5,2017,6206,"Tucker, Justin",PK,bal,a,oak,13,4800
5,2017,6204,"Walsh, Blair",PK,sea,a,lar,12,4800
5,2017,6422,"Elliott, Jake",PK,phi,h,ari,10,4700
5,2017,6172,"Gano, Graham",PK,car,a,det,10,5000
5,2017,6167,"Hauschka, Steven",PK,buf,a,cin,10,4800
5,2017,6095,"Novak, Nick",PK,lac,a,nyg,9,0
5,2017,6225,"Boswell, Chris",PK,pit,h,jac,9,4700
5,2017,6194,"Bailey, Dan",PK,dal,h,gnb,8,5100
5,2017,6208,"Forbath, Kai",PK,min,a,chi,8,4600
5,2017,6203,"Bullock, Randy",PK,cin,h,buf,8,4500
5,2017,6236,"Myers, Jason",PK,jac,a,pit,7,4600
5,2017,6229,"Catanzaro, Chandler",PK,nyj,a,cle,7,4600
5,2017,6159,"Prater, Matt",PK,det,h,car,6,4900
5,2017,6217,"Tavecchio, Giorgio",PK,oak,h,bal,5,4800
5,2017,6169,"Succop, Ryan",PK,ten,a,mia,5,4700
5,2017,6230,"Parkey, Cody",PK,mia,h,ten,5,4500
5,2017,6104,"Crosby, Mason",PK,gnb,a,dal,5,5000
5,2017,6205,"Zuerlein, Greg",PK,lar,h,sea,4,5300
5,2017,6240,"Gonzalez, Zane",PK,cle,h,nyj,2,4500
5,2017,6242,"Rosas, Aldrick",PK,nyg,h,lac,2,4500
5,2017,6120,"Folk, Nick",PK,tam,h,nwe,2,4500
5,2017,6241,"Fairbairn, Ka'imi",PK,hou,h,kan,2,4700
5,2017,6016,"Dawson, Phil",PK,ari,a,phi,1,4600
5,2017,6166,"Barth, Connor",PK,chi,h,min,1,4500
6,2017,6169,"Succop, Ryan",PK,ten,h,ind,21,4600
6,2017,6242,"Rosas, Aldrick",PK,nyg,a,den,14,4500
6,2017,6208,"Forbath, Kai",PK,min,h,gnb,13,4600
6,2017,6037,"Vinatieri, Adam",PK,ind,a,ten,12,4600
6,2017,6172,"Gano, Graham",PK,car,h,phi,12,4900
6,2017,6206,"Tucker, Justin",PK,bal,h,chi,12,4800
6,2017,6239,"Lutz, Wil",PK,nor,h,det,11,4700
6,2017,6422,"Elliott, Jake",PK,phi,a,car,11,4600
6,2017,6205,"Zuerlein, Greg",PK,lar,a,jac,11,5200
6,2017,6166,"Barth, Connor",PK,chi,a,bal,10,4500
6,2017,6230,"Parkey, Cody",PK,mia,a,atl,9,4500
6,2017,6209,"Hopkins, Dustin",PK,was,h,sfo,9,4700
6,2017,6159,"Prater, Matt",PK,det,a,nor,9,5000
6,2017,6016,"Dawson, Phil",PK,ari,h,tam,8,4500
6,2017,6096,"Gould, Robbie",PK,sfo,a,was,8,4500
6,2017,6423,"Butker, Harrison",PK,kan,h,pit,8,4700
6,2017,6071,"Bryant, Matt",PK,atl,h,mia,7,5200
6,2017,6236,"Myers, Jason",PK,jac,h,lar,6,4500
6,2017,6240,"Gonzalez, Zane",PK,cle,a,hou,6,4500
6,2017,6098,"Gostkowski, Stephen",PK,nwe,a,nyj,6,5300
6,2017,6241,"Fairbairn, Ka'imi",PK,hou,h,cle,6,4800
6,2017,6217,"Tavecchio, Giorgio",PK,oak,h,lac,5,4600
6,2017,6229,"Catanzaro, Chandler",PK,nyj,h,nwe,5,4500
6,2017,6095,"Novak, Nick",PK,lac,a,oak,5,4500
6,2017,6225,"Boswell, Chris",PK,pit,a,kan,5,4700
6,2017,6227,"McManus, Brandon",PK,den,h,nyg,4,4900
6,2017,6104,"Crosby, Mason",PK,gnb,a,min,4,4800
6,2017,6219,"Murray, Patrick",PK,tam,a,ari,1,0
7,2017,6208,"Forbath, Kai",PK,min,h,bal,24,4700
7,2017,6225,"Boswell, Chris",PK,pit,h,cin,19,4800
7,2017,6205,"Zuerlein, Greg",PK,lar,h,ari,17,5200
7,2017,6169,"Succop, Ryan",PK,ten,a,cle,15,4700
7,2017,6167,"Hauschka, Steven",PK,buf,h,tam,14,4700
7,2017,6423,"Butker, Harrison",PK,kan,a,oak,14,4900
7,2017,6206,"Tucker, Justin",PK,bal,a,min,14,4700
7,2017,6422,"Elliott, Jake",PK,phi,h,was,13,4600
7,2017,6240,"Gonzalez, Zane",PK,cle,h,ten,12,4500
7,2017,6098,"Gostkowski, Stephen",PK,nwe,h,atl,11,5100
7,2017,6219,"Murray, Patrick",PK,tam,a,buf,11,4500
7,2017,6233,"Lambo, Josh",PK,jac,a,ind,10,0
7,2017,6239,"Lutz, Wil",PK,nor,a,gnb,9,4800
7,2017,6217,"Tavecchio, Giorgio",PK,oak,h,kan,7,4700
7,2017,6230,"Parkey, Cody",PK,mia,h,nyj,7,4600
7,2017,6204,"Walsh, Blair",PK,sea,a,nyg,6,4900
7,2017,6424,"Rose, Nick",PK,was,a,phi,6,0
7,2017,6104,"Crosby, Mason",PK,gnb,h,nor,6,4600
7,2017,6166,"Barth, Connor",PK,chi,h,car,5,4500
7,2017,6096,"Gould, Robbie",PK,sfo,h,dal,5,4500
7,2017,6229,"Catanzaro, Chandler",PK,nyj,a,mia,4,4600
7,2017,6095,"Novak, Nick",PK,lac,h,den,3,4500
7,2017,6172,"Gano, Graham",PK,car,a,chi,3,4800
7,2017,6194,"Bailey, Dan",PK,dal,a,sfo,2,5000
7,2017,6203,"Bullock, Randy",PK,cin,a,pit,2,4500
7,2017,6071,"Bryant, Matt",PK,atl,a,nwe,1,5300
7,2017,6242,"Rosas, Aldrick",PK,nyg,h,sea,1,4500
7,2017,6227,"McManus, Brandon",PK,den,a,lac,0,5000
7,2017,6016,"Dawson, Phil",PK,ari,a,lar,0,4600
8,2017,6423,"Butker, Harrison",PK,kan,h,den,21,5000
8,2017,6159,"Prater, Matt",PK,det,h,pit,18,5000
8,2017,6208,"Forbath, Kai",PK,min,a,cle,16,5100
8,2017,6093,"Nugent, Mike",PK,dal,a,was,16,0
8,2017,6071,"Bryant, Matt",PK,atl,a,nyj,14,5100
8,2017,6098,"Gostkowski, Stephen",PK,nwe,h,lac,14,5200
8,2017,6206,"Tucker, Justin",PK,bal,h,mia,13,4800
8,2017,6204,"Walsh, Blair",PK,sea,h,hou,11,4800
8,2017,6037,"Vinatieri, Adam",PK,ind,a,cin,11,4500
8,2017,6167,"Hauschka, Steven",PK,buf,h,oak,11,4800
8,2017,6239,"Lutz, Wil",PK,nor,h,chi,10,4900
8,2017,6229,"Catanzaro, Chandler",PK,nyj,h,atl,10,4600
8,2017,6422,"Elliott, Jake",PK,phi,h,sfo,10,4800
