Date & Time,Favorite,Spread,Underdog,Total,Money Odds,Week,Year
9/5 8:20 ET,At Chicago,-3,Green Bay,46.5,-$165 +$145,1,2019
9/8 1:03 ET,At Minnesota,-3.5,Atlanta,46.5,-$190 +$165,1,2019
9/8 1:03 ET,At Philadelphia,-10,Washington,44,-$550 +$425,1,2019
9/8 1:03 ET,At NY Jets,-2.5,Buffalo,41,-$145 +$125,1,2019
9/8 1:03 ET,Baltimore,-7,At Miami,40.5,-$345 +$275,1,2019
9/8 4:25 ET,At Tampa Bay,-1,San Francisco,51,-$120 +$100,1,2019
9/8 1:03 ET,Kansas City,-3.5,At Jacksonville,49,-$190 +$165,1,2019
9/8 1:03 ET,At Cleveland,-5.5,Tennessee,44.5,-$255 +$215,1,2019
9/8 1:03 ET,LA Rams,-1.5,At Carolina,49.5,-$125 +$105,1,2019
9/8 4:25 ET,Detroit,-3,At Arizona,46,-$155 +$135,1,2019
9/8 4:05 ET,At Seattle,-9.5,Cincinnati,44.5,-$470 +$370,1,2019
9/8 4:05 ET,At LA Chargers,-6,Indianapolis,44.5,-$290 +$240,1,2019
9/8 4:25 ET,At Dallas,-7,NY Giants,44.5,-$340 +$280,1,2019
9/8 8:20 ET,At New England,-5.5,Pittsburgh,49,-$260 +$220,1,2019
9/9 7:10 ET,At New Orleans,-7,Houston,52,-$330 +$260,1,2019
9/9 10:15 ET,Denver,-3,At Oakland,42.5,-$155 +$135,1,2019
9/6 8:20 ET,At Philadelphia,0,Atlanta,44,-$110  -$110,1,2018
9/9 1:00 ET,Pittsburgh,-3.5,At Cleveland,41,-$180 +$160,1,2018
9/9 1:00 ET,At Minnesota,-6.5,San Francisco,46,-$275 +$235,1,2018
9/9 1:00 ET,At Indianapolis,0,Cincinnati,47.5,-$110  -$110,1,2018
9/9 1:00 ET,At Baltimore,-8,Buffalo,38.5,-$390 +$320,1,2018
9/9 1:00 ET,Jacksonville,-3,At NY Giants,42.5,-$145 +$125,1,2018
9/9 1:00 ET,At New Orleans,-10,Tampa Bay,49.5,-$550 +$425,1,2018
9/9 1:00 ET,At New England,-6,Houston,50,-$270 +$230,1,2018
9/9 1:00 ET,At Miami,0,Tennessee,43.5,-$110  -$110,1,2018
9/9 4:05 ET,At LA Chargers,-3.5,Kansas City,48.5,-$190 +$165,1,2018
9/9 4:25 ET,At Denver,-3,Seattle,42.5,-$180 +$160,1,2018
9/9 4:25 ET,At Carolina,-3,Dallas,42,-$155 +$135,1,2018
9/9 4:25 ET,At Arizona,-2,Washington,43.5,-$135 +$115,1,2018
9/9 8:20 ET,At Green Bay,-7,Chicago,45,-$320 +$260,1,2018
9/10 7:10 ET,At Detroit,-7,NY Jets,44,-$330 +$270,1,2018
